WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts, LbrHrs , PartsCost ,Payment, Wait ,LbrRate, LbrCost , LbrFee , PartsFee , TotalCost , TotalFee ,ReqDay,WorkDay
A00100,North,Khan,Assess,,1-Sep-20,15-Sep-20,2,,,0.5,360,Account,14,#REF!,#REF!,#REF!,360,#REF!,#REF!,Tue,Tue
A00101,South,Lopez,Replace,,1-Sep-20,4-Sep-20,1,,,0.5,90.04,Account,3,#REF!,#REF!,#REF!,90.04,#REF!,#REF!,Tue,Fri
A00102,Central,Cartier,Deliver,,1-Sep-20,17-Sep-20,1,,,0.25,120,P.O.,16,#REF!,#REF!,#REF!,120,#REF!,#REF!,Tue,Thu
A00103,South,Lopez,Deliver,,1-Sep-20,17-Sep-20,1,,,0.25,16.25,Account,16,#REF!,#REF!,#REF!,16.25,#REF!,#REF!,Tue,Thu
A00104,Northwest,Cartier,Deliver,Yes,1-Sep-20,17-Sep-20,1,,,0.25,45.24,Account,16,#REF!,#REF!,#REF!,45.24,#REF!,#REF!,Tue,Thu
A00105,South,Lopez,Assess,,1-Sep-20,15-Sep-20,1,,,0.25,97.63,Account,14,#REF!,#REF!,#REF!,97.63,#REF!,#REF!,Tue,Tue
A00106,Central,Cartier,Assess,,2-Sep-20,16-Sep-20,2,,,0.25,29.13,Account,14,#REF!,#REF!,#REF!,29.13,#REF!,#REF!,Wed,Wed
A00107,South,Lopez,Replace,,2-Sep-20,2-Oct-20,1,,,0.75,35.1,Account,30,#REF!,#REF!,#REF!,35.1,#REF!,#REF!,Wed,Fri
A00108,Northwest,Burton,Deliver,,2-Sep-20,1-Oct-20,1,,,0.25,76.7,C.O.D.,29,#REF!,#REF!,#REF!,76.7,#REF!,#REF!,Wed,Thu
A00109,Central,Khan,Repair,Yes,2-Sep-20,6-Oct-20,1,,,1.5,374.08,C.O.D.,34,#REF!,#REF!,#REF!,374.08,#REF!,#REF!,Wed,Tue
A00110,West,Burton,Replace,,2-Sep-20,8-Dec-20,2,,,4.75,832.16,Account,97,#REF!,#REF!,#REF!,832.16,#REF!,#REF!,Wed,Tue
A00111,South,Lopez,Deliver,Yes,3-Sep-20,23-Sep-20,1,,,0.25,70.21,Account,20,#REF!,#REF!,#REF!,70.21,#REF!,#REF!,Thu,Wed
A00112,West,Burton,Assess,,4-Sep-20,30-Sep-20,1,,,0.5,150,P.O.,26,#REF!,#REF!,#REF!,150,#REF!,#REF!,Fri,Wed
A00113,Central,Michner,Assess,,4-Sep-20,24-Oct-20,2,,,1.5,275,C.O.D.,50,#REF!,#REF!,#REF!,275,#REF!,#REF!,Fri,Sat
A00114,Northwest,Khan,Replace,Yes,4-Sep-20,10-Nov-20,1,,,0.75,938,C.O.D.,67,#REF!,#REF!,#REF!,938,#REF!,#REF!,Fri,Tue
A00115,South,Lopez,Assess,,5-Sep-20,21-Sep-20,1,,,0.25,61.25,Account,16,#REF!,#REF!,#REF!,61.25,#REF!,#REF!,Sat,Mon
A00116,West,Burton,Assess,,5-Sep-20,22-Sep-20,1,,,1.5,48,C.O.D.,17,#REF!,#REF!,#REF!,48,#REF!,#REF!,Sat,Tue
A00117,Northwest,Burton,Assess,,7-Sep-20,10-Sep-20,2,,,0.25,204.28,Account,3,#REF!,#REF!,#REF!,204.28,#REF!,#REF!,Mon,Thu
A00118,Northwest,Cartier,Replace,,8-Sep-20,15-Sep-20,2,,,0.5,240,Account,7,#REF!,#REF!,#REF!,240,#REF!,#REF!,Tue,Tue
A00119,Southeast,Khan,Replace,,8-Sep-20,17-Sep-20,2,,,0.5,120,Account,9,#REF!,#REF!,#REF!,120,#REF!,#REF!,Tue,Thu
A00120,Central,Cartier,Repair,,8-Sep-20,21-Sep-20,1,,,1.75,475,Account,13,#REF!,#REF!,#REF!,475,#REF!,#REF!,Tue,Mon
A00121,Southeast,Khan,Replace,,8-Sep-20,22-Sep-20,1,,,1.75,341,C.O.D.,14,#REF!,#REF!,#REF!,341,#REF!,#REF!,Tue,Tue
A00122,Northwest,Khan,Assess,,8-Sep-20,28-Oct-20,1,,,0.75,61.18,C.O.D.,50,#REF!,#REF!,#REF!,61.18,#REF!,#REF!,Tue,Wed
A00123,South,Lopez,Replace,,8-Sep-20,17-Nov-20,1,,,0.5,155.39,Account,70,#REF!,#REF!,#REF!,155.39,#REF!,#REF!,Tue,Tue
A00124,Northwest,Michner,Replace,Yes,9-Sep-20,24-Sep-20,2,,,0.5,204.28,C.O.D.,15,#REF!,#REF!,#REF!,204.28,#REF!,#REF!,Wed,Thu
A00125,South,Lopez,Assess,,9-Sep-20,29-Sep-20,1,,,0.5,37.92,Account,20,#REF!,#REF!,#REF!,37.92,#REF!,#REF!,Wed,Tue
A00126,Northwest,Burton,Deliver,Yes,9-Sep-20,29-Sep-20,1,,,0.25,88.41,Account,20,#REF!,#REF!,#REF!,88.41,#REF!,#REF!,Wed,Tue
A00127,South,Lopez,Deliver,,9-Sep-20,29-Sep-20,1,,,0.25,202.29,Account,20,#REF!,#REF!,#REF!,202.29,#REF!,#REF!,Wed,Tue
A00128,West,Khan,Assess,,10-Sep-20,28-Sep-20,1,,,0.5,120,P.O.,18,#REF!,#REF!,#REF!,120,#REF!,#REF!,Thu,Mon
A00129,Northwest,Michner,Deliver,,11-Sep-20,14-Sep-20,1,,,0.25,120,Account,3,#REF!,#REF!,#REF!,120,#REF!,#REF!,Fri,Mon
A00130,Southwest,Cartier,Replace,,11-Sep-20,15-Sep-20,2,,,0.5,535.62,C.O.D.,4,#REF!,#REF!,#REF!,535.62,#REF!,#REF!,Fri,Tue
A00131,Northwest,Khan,Assess,,11-Sep-20,23-Sep-20,2,,,0.25,24.63,Account,12,#REF!,#REF!,#REF!,24.63,#REF!,#REF!,Fri,Wed
A00132,Northwest,Khan,Replace,,11-Sep-20,26-Sep-20,2,,,0.5,43.26,Account,15,#REF!,#REF!,#REF!,43.26,#REF!,#REF!,Fri,Sat
A00133,West,Khan,Assess,,11-Sep-20,6-Oct-20,1,,,0.25,21.33,Account,25,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Fri,Tue
A00134,West,Khan,Replace,,12-Sep-20,28-Sep-20,1,,,1,0.46,C.O.D.,16,#REF!,#REF!,#REF!,0.46,#REF!,#REF!,Sat,Mon
